,CommonName,SciName,Family,About,Audios
64,Bar-tailed godwit,Limosa lapponica,Scolopacidae,"The bar-tailed godwit is a large wader in the family Scolopacidae, which feeds on bristle-worms and shellfish on coastal mudflats and estuaries. It has distinctive red breeding plumage, long legs, and a long upturned bill. Bar-tailed godwits breed on Arctic coasts and tundra from Scandinavia to Alaska, and overwinter on coasts in temperate and tropical regions of the Old World, Australia and New Zealand. The migration of the subspecies Limosa lapponica baueri from across the Pacific Ocean from Alaska to New Zealand is the longest known non-stop flight of any bird, and also the longest journey without pausing to feed by any animal. The round-trip migration for this subspecies is over 29,000 km.",https://xeno-canto.org/594104/download
65,Bar-tailed treecreeper,Certhia himalayana,Family,"The bar-tailed treecreeper, or the Himalayan treecreeper is a species of bird in the family Certhiidae. It is found primarily in the northern parts of the Indian subcontinent, particularly in the Himalayas, as well as in adjoining regions. It is found in Afghanistan, India, Iran, Kazakhstan, Burma, Nepal, Tibet, Russia, Tajikistan, Turkmenistan, and Uzbekistan.",https://xeno-canto.org/104351/download
66,Bar-throated minla,Minla strigula,Leiothrichidae,"The bar-throated minla or chestnut-tailed minla, or even bar-throated siva, is a species of bird in the laughingthrush and babbler family Leiothrichidae. Traditionally, it has been placed in the genus Minla but is now placed in Actinodura.",https://xeno-canto.org/255703/download
67,Bar-winged flycatcher-shrike,Hemipus picatus,Vangidae,"The bar-winged flycatcher-shrike is a small passerine bird usually placed in the Vangidae. It is found in the forests of tropical southern Asia from the Himalayas and hills of southern India to Indonesia. Mainly insectivorous it is found hunting in the mid-canopy of forests, often joining mixed-species foraging flocks. They perch upright and have a distinctive pattern of black and white, males being more shiny black than the females. In some populations the colour of the back is brownish while others have a dark wash on the underside.",https://xeno-canto.org/113026/download
68,Bar-winged wren-babbler,Spelaeornis troglodytoides,Timaliidae,"The bar-winged wren-babbler is a species of bird in the family Timaliidae. It is found in Bhutan, China, India, and Myanmar. Its natural habitat is subtropical or tropical moist montane forest.",https://xeno-canto.org/426911/download
69,,,,,
70,Barn swallow,Hirundo rustica,Hirundinidae,"The barn swallow is the most widespread species of swallow in the world. It is a distinctive passerine bird with blue upperparts and a long, deeply forked tail. It is found in Europe, Asia, Africa and the Americas. In Anglophone Europe it is just called the swallow; in Northern Europe it is the only common species called a ""swallow"" rather than a ""martin"".",https://xeno-canto.org/428862/download
71,Barred cuckoo-dove,Macropygia unchall,Columbidae,"The barred cuckoo-dove is a bird species in the family Columbidae. It is native to South and Southeast Asia, and listed as Least Concern on the IUCN Red List.",https://xeno-canto.org/426674/download
72,,,,,
73,Bay woodpecker,Blythipicus pyrrhotis,Picidae,The bay woodpecker is a species of bird in the family Picidae.,https://xeno-canto.org/551334/download
74,Bay-backed shrike,Lanius vittatus,Laniidae,"The bay-backed shrike is a member of the bird family Laniidae, the shrikes, resident in South Asia.",https://xeno-canto.org/444183/download
