,CommonName,SciName,Family,About,Audios
32,Ashy minivet,Pericrocotus divaricatus,Campephagidae,"The ashy minivet is a passerine bird of eastern Asia belonging to the minivet genus Pericrocotus in the cuckooshrike family Campephagidae. While most of the minivets have shades of yellow, orange and red in their plumage, this species has only greys, whites and blacks. The male is distinctive with a white face and black nape although females can be confused with the female of the brown-rumped minivet. They forage in the canopy, often along with other minivets and join mixed-species foraging flocks.",https://xeno-canto.org/822224/download
33,Ashy prinia,Prinia socialis,Cisticolidae,"The ashy prinia or ashy wren-warbler is a small warbler in the family Cisticolidae. This prinia is a resident breeder in the Indian Subcontinent, ranging across most of India, Nepal, Bangladesh, Bhutan, Sri Lanka and western Myanmar. It is a common bird in urban gardens and farmland in many parts of India and its small size, distinctive colours and upright tail make it easy to identify. The northern populations have a rufous rump and back and have a distinct breeding and non-breeding plumage while other populations lack such variation.",https://xeno-canto.org/424246/download
34,,,,,
35,Ashy woodswallow,Artamus fuscus,Artamidae,"The ashy woodswallow sometimes also called the ashy swallow-shrike is a woodswallow which is found in south Asia. Like other woodswallows, it has a short curve bill and a short square tail and long wings. It is usually seen perched in groups, high on powerlines, tall bare trees and most often in areas with a predominance of tall palm trees.",https://xeno-canto.org/424487/download
36,Ashy-crowned sparrow-lark,Eremopterix griseus,Alaudidae,"The ashy-crowned sparrow-lark is a small sparrow-sized member of the lark family. It is found in the plains in open land with bare ground, grass and scrub across South Asia. The males are well marked with a contrasting black-and-white face pattern, while females are sandy brown, looking similar to a female sparrow. Males are easily detected during the breeding season by the long descending whistle that accompanies their undulating and dive-bombing flight displays.",https://xeno-canto.org/586883/download
37,Ashy-headed green pigeon,Treron pompadora phayrei,Columbidae,"The ashy-headed green pigeon is a pigeon in the genus Treron. It is found from Nepal, northeast India and Bangladesh to southwest China, Myanmar, Thailand, Laos, and Vietnam. Many authorities split the species from the pompadour green pigeon complex. It has been added in the Red List of IUCN in 2014.",https://xeno-canto.org/116336/download
38,Ashy-throated warbler,Phylloscopus maculipennis,Phylloscopidae,"The ashy-throated warbler is a species of leaf warbler. It was formerly included in the ""Old World warbler"" assemblage.",https://xeno-canto.org/255702/download
39,Asian barred owlet,Glaucidium cuculoides,Strigidae,"The Asian barred owlet is a species of true owl, resident in northern parts of the Indian Subcontinent and parts of Southeast Asia. It ranges across north central and northeast India, Nepal Bhutan, north Bangladesh, and southeast Asia. Its natural habitat is temperate forest.",https://xeno-canto.org/467432/download
40,Asian brown flycatcher,Muscicapa dauurica,Muscicapidae,"The Asian brown flycatcher is a small passerine bird in the flycatcher family Muscicapidae. The word Muscicapa comes from the Latin musca, a fly and capere, to catch. The specific dauurica refers to Dauria, an area of south-eastern Siberia named after a local nomadic tribe.",https://xeno-canto.org/554430/download
41,,,,,
42,,,,,
43,,,,,
44,Asian emerald cuckoo,Chrysococcyx maculatus,Cuculidae,"The Asian emerald cuckoo is a species of cuckoo in the family Cuculidae. It is found in Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Sri Lanka, Thailand, and Vietnam. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forest.",https://xeno-canto.org/474676/download
45,,,,,
46,Asian glossy starling,Aplonis panayensis,Sturnidae,"The Asian glossy starling is a species of starling in the family Sturnidae. It is found in Bangladesh, Brunei, India, Indonesia, Malaysia, Myanmar, the Philippines, Singapore, Taiwan (introduced) and Thailand. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical mangrove forest. There is also a huge number of this species inhabiting towns and cities, where they take refuge in abandoned buildings and trees. They often move in large groups and are considered one of the noisiest species of birds.",https://xeno-canto.org/369052/download
47,Asian house martin,Delichon dasypus,Hirundinidae,"The Asian house martin is a migratory passerine bird of the swallow family Hirundinidae. It has mainly blue-black upperparts, other than its white rump, and has pale grey underparts. Its three subspecies breed in the Himalayas and in central and eastern Asia, and spend the winter lower in the mountains or in Southeast Asia. This species is locally abundant and is expanding northward in Siberia, so there are no concerns about its conservation status.",https://xeno-canto.org/79827/download
48,Asian koel,Eudynamys scolopaceus,Cuculidae,"The Asian koel is a member of the cuckoo order of birds, the Cuculiformes. It is found in the Indian Subcontinent, China, and Southeast Asia. It forms a superspecies with the closely related black-billed koels, and Pacific koels which are sometimes treated as subspecies. The Asian koel like many of its related cuckoo kin is a brood parasite that lays its eggs in the nests of crows and other hosts, who raise its young. They are unusual among the cuckoos in being largely frugivorous as adults. The name koel is echoic in origin with several language variants. The bird is a widely used symbol in Indian poetry.",https://xeno-canto.org/435845/download
49,Asian openbill,Anastomus oscitans,Ciconiidae,"The Asian openbill or Asian openbill stork is a large wading bird in the stork family Ciconiidae. This distinctive stork is found mainly in the Indian subcontinent and Southeast Asia. It is greyish or white with glossy black wings and tail and the adults have a gap between the arched upper mandible and recurved lower mandible. Young birds are born without this gap which is thought to be an adaptation that aids in the handling of snails, their main prey. Although resident within their range, they make long distance movements in response to weather and food availability.",https://xeno-canto.org/194954/download
50,Asian palm swift,Cypsiurus balasiensis,Apodidae,"The Asian palm swift is a small swift. It is very similar to the African palm swift, Cypsiurus parvus, and was formerly considered to be the same species.",https://xeno-canto.org/425063/download
51,,,,,
52,Asian stubtail,Urosphena squameiceps,Cettiidae,"The Asian stubtail is a bird in the family Cettiidae. The species was first described by Robert Swinhoe in 1863. It breeds in Korea, Manchuria and Japan and winters to southern China and northern Southeast Asia. Its natural habitat is temperate forest.",https://xeno-canto.org/443886/download
53,Assam laughingthrush,Trochalopteron chrysopterum,Leiothrichidae,The Assam laughingthrush is a species of bird in the family Leiothrichidae. It is found in Northeast India and adjacent southwest China and Myanmar.,https://xeno-canto.org/426960/download
54,,,,,
55,,,,,
56,,,,,
57,Baikal bush warbler,Locustella davidi,Locustellidae,"The Baikal bush warbler, Baikal grasshopper-warbler or David's bush warbler is a migratory species of Old World warbler in the family Locustellidae.",https://xeno-canto.org/292925/download
58,,,,,
59,Baillon's crake,Porzana pusilla,Rallidae,"Baillon's crake or the marsh crake, is a small waterbird of the family Rallidae.",https://xeno-canto.org/267361/download
60,Banasura laughingthrush,Montecincla jerdoni,Leiothrichidae,The Banasura laughingthrush is a species of bird in the family Leiothrichidae. It is found in shola habitat in a small section of the Western Ghats in southwestern Karnataka and northern Kerala. It was formerly considered a subspecies of the black-chinned laughingthrush.,https://xeno-canto.org/545768/download
61,Banded bay cuckoo,Cacomantis sonneratii,Cuculidae,"The banded bay cuckoo or bay-banded cuckoo is a species of small cuckoo found in the Indian subcontinent and Southeast Asia. Like others in the genus they have a round nostril. They are usually founded in well wooded areas mainly in the lower hills. Males sing from exposed branches during the breeding season, which can vary with region. They are distinctive both in their calls as well as plumage with a white eyebrowed appearance and the rufous upperparts with regular dark bands and the whitish underside with fine striations.",https://xeno-canto.org/44839/download
62,Bank myna,Acridotheres ginginianus,Sturnidae,"The bank myna is a myna found in the northern parts of South Asia. It is smaller but similar in colouration to the common myna, only differing in having brick-red naked skin behind the eyes instead of yellow. It is greyer on the underside and in this and in the presence of a slight tuft of feathers bears some resemblance to the jungle myna. They are found in flocks on the plains of northern and central India, often within towns and cities. Their range appears to be extending southwards into India. The name is derived from their habit of nesting almost exclusively in the earthen banks of rivers, where they excavate holes and breed in large colonies.",https://xeno-canto.org/95781/download
63,Bar-headed goose,Anser indicus,Anatidae,"The bar-headed goose is a goose that breeds in Central Asia in colonies of thousands near mountain lakes and winters in South Asia, as far south as peninsular India. It lays three to eight eggs at a time in a ground nest. It is known for the extreme altitudes it reaches when migrating across the Himalayas.",https://xeno-canto.org/431196/download
